LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-09-01 20:36:08,1900-01-00 00:00:00,,B4:20:46:5C:E1:04,-23, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,B4:20:46:5C:E1:08,-22, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,B4:20:46:5C:E1:06,-22, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,B4:20:46:5C:E1:0C,-19, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,AA:2C:21:49:DD:31,-30, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,B4:20:46:88:9C:88,-18, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E4,-5, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E8,-2, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E6,-3, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:EC,-3, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,TC,B4:20:46:5C:E1:06,-22, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:08,1900-01-00 00:00:00,TC-2,B4:20:46:5C:E1:0C,-20, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,B4:20:46:88:9C:84,-13, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,B4:20:46:88:9C:88,-15, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,B4:20:46:88:9C:86,-15, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E8,-4, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,TC,3C:5C:F1:3D:D8:E6,-5, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,TC-2,3C:5C:F1:3D:D8:EC,-5, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,B4:20:46:5C:E1:04,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,B4:20:46:5C:E1:08,-22, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,6A:83:E7:07:85:4A,-74, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,6A:83:E7:07:83:1A,-26, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,66:83:E7:07:85:4A,-23, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,6A:83:E7:07:85:4A,-24, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,60:83:E7:07:85:46,-28, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,66:83:E7:07:85:46,-24, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,,60:83:E7:07:85:4A,-80, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:09,1900-01-00 00:00:00,M&M,60:83:E7:07:85:46,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:10,1900-01-00 00:00:00,,62:02:14:B6:E8:8B,-5, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:11,1900-01-00 00:00:00,,5C:02:14:B6:E8:8B,-3, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:11,1900-01-00 00:00:00,32_Burotto-Xiaomi,5C:02:14:B6:E8:8B,-3, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:11,1900-01-00 00:00:00,,62:02:14:B6:E8:8B,-3, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E8,-4, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,TC,3C:5C:F1:3D:D8:E6,-4, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,B4:20:46:5C:E1:04,-22, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,B4:20:46:5C:E1:08,-22, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,TC,B4:20:46:5C:E1:06,-23, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,TC-2,B4:20:46:5C:E1:0C,-22, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,B4:20:46:88:9C:84,-12, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,B4:20:46:88:9C:88,-13, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,3C:5C:F1:04:77:C4,-28, ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E4,-6, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,3C:5C:F1:3D:D8:E8,-4, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,TC,3C:5C:F1:3D:D8:E6,-4, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,TC-2,3C:5C:F1:3D:D8:EC,-5, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,,B4:20:46:5C:E1:08,-22, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-01 20:36:12,1900-01-00 00:00:00,TC-2,B4:20:46:5C:E1:0C,-22, WPA2 ,0.000000,0.000000,0.000,0.000,AP
